Doctor ID,Doctor Name,Department,2025-08-25 (Monday),2025-08-26 (Tuesday),2025-08-27 (Wednesday),2025-08-28 (Thursday),2025-08-29 (Friday),2025-08-30 (Saturday),2025-08-31 (Sunday),2025-09-01 (Monday),2025-09-02 (Tuesday),2025-09-03 (Wednesday),2025-09-04 (Thursday),2025-09-05 (Friday),2025-09-06 (Saturday),2025-09-07 (Sunday),2025-09-08 (Monday),2025-09-09 (Tuesday),2025-09-10 (Wednesday),2025-09-11 (Thursday),2025-09-12 (Friday),2025-09-13 (Saturday),2025-09-14 (Sunday),2025-09-15 (Monday),2025-09-16 (Tuesday),2025-09-17 (Wednesday),2025-09-18 (Thursday),2025-09-19 (Friday),2025-09-20 (Saturday),2025-09-21 (Sunday),2025-09-22 (Monday),2025-09-23 (Tuesday),2025-09-24 (Wednesday),2025-09-25 (Thursday),2025-09-26 (Friday),2025-09-27 (Saturday),2025-09-28 (Sunday),2025-09-29 (Monday),2025-09-30 (Tuesday),2025-10-01 (Wednesday),2025-10-02 (Thursday),2025-10-03 (Friday),2025-10-04 (Saturday),2025-10-05 (Sunday),2025-10-06 (Monday),2025-10-07 (Tuesday),2025-10-08 (Wednesday),2025-10-09 (Thursday),2025-10-10 (Friday),2025-10-11 (Saturday),2025-10-12 (Sunday),2025-10-13 (Monday),2025-10-14 (Tuesday),2025-10-15 (Wednesday),2025-10-16 (Thursday),2025-10-17 (Friday),2025-10-18 (Saturday),2025-10-19 (Sunday),2025-10-20 (Monday),2025-10-21 (Tuesday),2025-10-22 (Wednesday),2025-10-23 (Thursday),2025-10-24 (Friday),2025-10-25 (Saturday),2025-10-26 (Sunday),2025-10-27 (Monday),2025-10-28 (Tuesday),2025-10-29 (Wednesday),2025-10-30 (Thursday),2025-10-31 (Friday),2025-11-01 (Saturday),2025-11-02 (Sunday),2025-11-03 (Monday),2025-11-04 (Tuesday),2025-11-05 (Wednesday),2025-11-06 (Thursday),2025-11-07 (Friday),2025-11-08 (Saturday),2025-11-09 (Sunday),2025-11-10 (Monday),2025-11-11 (Tuesday),2025-11-12 (Wednesday),2025-11-13 (Thursday),2025-11-14 (Friday),2025-11-15 (Saturday),2025-11-16 (Sunday),2025-11-17 (Monday),2025-11-18 (Tuesday),2025-11-19 (Wednesday),2025-11-20 (Thursday),2025-11-21 (Friday),2025-11-22 (Saturday),2025-11-23 (Sunday)
D001,Dr. Deepak Iyer,Psychiatry,38,0,0,41,0,31,0,Leave,0,0,32,0,30,0,Leave,0,0,33,0,26,0,30,0,0,26,0,25,0,29,0,0,26,0,21,0,26,0,0,29,0,19,0,Leave,0,0,Leave,0,13,0,24,0,0,10,0,13,0,9,0,Leave,16,0,7,0,7,0,0,8,0,4,0,0,0,0,2,0,Leave,0,2,0,0,0,Leave,0,0,Leave,0,0,5,0,3,0
D002,Dr. Kavita Chopra,Psychology,0,0,36,45,Leave,44,0,0,0,Leave,Leave,Leave,40,0,0,0,42,46,0,41,0,0,0,37,39,0,32,0,0,Leave,21,34,0,34,0,0,0,26,29,0,28,0,0,0,30,21,0,24,0,0,0,17,17,0,11,0,Leave,0,12,Leave,0,21,0,0,0,7,11,0,6,Leave,0,0,1,7,0,4,0,0,0,7,2,0,2,0,0,0,3,0,0,1,0
D003,Dr. Suresh Desai,Psychology,Leave,27,34,0,0,0,0,Leave,35,26,0,0,Leave,0,13,26,13,0,0,0,0,21,Leave,20,0,0,0,0,13,13,17,Leave,0,0,0,7,18,11,0,0,0,0,18,18,6,0,0,0,0,9,8,12,0,0,0,Leave,5,13,Leave,0,0,0,0,3,9,0,0,0,0,0,0,4,3,0,0,0,Leave,0,0,0,0,0,0,0,0,2,0,0,0,0,0
D004,Dr. Arjun Joshi,Psychology,27,0,20,0,0,21,0,18,0,11,0,0,17,0,18,0,19,0,0,10,0,7,0,Leave,0,0,Leave,0,Leave,0,3,0,0,17,0,7,0,6,0,0,10,0,Leave,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,10,0,Leave,0,7,0,0,0,0,0,0,0,0,0,0,0,Leave,Leave,0,0,0,1,0,0,0,1,Leave,0,1,0
D005,Dr. Karan Mehta,Psychology,0,0,42,46,0,33,0,0,0,36,30,0,30,0,Leave,0,35,32,0,29,0,0,0,26,27,0,23,0,0,0,20,21,0,26,0,Leave,0,20,26,0,19,0,0,0,22,27,0,Leave,0,Leave,0,17,14,0,18,0,0,0,12,13,Leave,10,0,0,0,3,5,0,2,Leave,0,0,Leave,2,0,0,0,0,0,1,1,0,0,0,0,0,Leave,0,0,2,0
D006,Dr. Meera Verma,Psychology,0,51,41,27,0,0,0,0,37,44,36,0,0,0,0,Leave,35,41,Leave,0,0,0,42,33,35,0,0,0,0,28,29,34,0,0,0,0,29,31,32,0,0,0,0,24,23,21,0,0,Leave,0,18,20,10,0,0,Leave,0,17,17,13,0,0,0,Leave,18,12,14,Leave,0,0,0,9,4,8,0,Leave,0,0,14,14,2,Leave,0,0,0,1,2,8,0,0,0
D007,Dr. Rahul Joshi,Psychology,0,32,0,30,0,25,0,0,18,Leave,33,0,30,0,0,26,0,17,0,26,0,0,20,0,21,0,11,0,0,13,0,14,0,Leave,0,0,Leave,0,18,0,14,Leave,0,6,Leave,3,0,11,0,0,10,0,2,0,2,Leave,0,0,0,0,Leave,0,0,0,3,0,6,0,0,0,0,7,0,0,0,0,0,0,0,Leave,8,0,0,0,0,0,0,0,0,1,0
D008,Dr. Manish Kapoor,Psychology,28,0,29,39,Leave,Leave,0,25,0,34,25,Leave,0,0,22,0,28,24,0,0,0,22,0,20,15,0,0,0,21,0,18,12,0,0,0,13,0,17,9,0,0,0,2,0,Leave,10,0,0,0,10,0,11,9,0,0,0,Leave,0,6,0,0,0,0,3,0,3,Leave,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Leave,0,5,Leave,0,0,0
D009,Dr. Amit Pandey,Psychology,0,0,60,52,50,0,0,Leave,0,47,53,50,0,0,Leave,0,40,51,40,0,0,0,0,48,34,44,0,0,0,0,47,36,Leave,Leave,0,0,0,50,40,33,0,0,0,0,33,33,40,0,0,0,0,19,34,33,0,0,0,0,18,26,Leave,0,Leave,0,0,16,17,16,0,0,0,0,14,14,15,0,0,0,0,13,15,8,Leave,0,Leave,0,15,5,9,0,0
D010,Dr. Amit Bansal,Psychology,0,38,0,0,32,39,0,0,Leave,0,0,40,Leave,0,0,33,0,0,31,30,0,Leave,Leave,0,0,16,21,0,0,24,0,0,23,22,0,0,12,0,0,8,8,0,0,16,0,0,14,15,0,0,13,Leave,0,Leave,7,0,0,13,0,0,16,1,Leave,0,5,0,0,0,3,0,0,2,0,0,Leave,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0
