Doctor ID,Name,Department,Available Days,Available Slots
D001,Dr. Deepak Iyer,Psychiatry,"Thu,Mon,Sat","13:00-14:00,15:00-16:00,12:00-13:00"
D002,Dr. Kavita Chopra,Psychology,"Wed,Sat,Thu","16:00-17:00,14:00-15:00,12:00-13:00"
D003,Dr. Suresh Desai,Psychology,"Wed,Tue,Mon","14:00-15:00,14:00-15:00,12:00-13:00"
D004,Dr. Arjun Joshi,Psychology,"Sat,Mon,Wed","13:00-14:00,14:00-15:00,15:00-16:00"
D005,Dr. Karan Mehta,Psychology,"Wed,Sat,Thu","11:00-12:00,14:00-15:00,11:00-12:00"
D006,Dr. Meera Verma,Psychology,"Wed,Tue,Thu","13:00-14:00,15:00-16:00,14:00-15:00"
D007,Dr. Rahul Joshi,Psychology,"Thu,Sat,Tue","13:00-14:00,11:00-12:00,12:00-13:00"
D008,Dr. Manish Kapoor,Psychology,"Mon,Thu,Wed","12:00-13:00,14:00-15:00,16:00-17:00"
D009,Dr. Amit Pandey,Psychology,"Fri,Thu,Wed","15:00-16:00,14:00-15:00,11:00-12:00"
D010,Dr. Amit Bansal,Psychology,"Tue,Sat,Fri","10:00-11:00,14:00-15:00,13:00-14:00"
D011,Dr. Sneha Kapoor,Psychology,"Fri,Sat,Thu","15:00-16:00,12:00-13:00,14:00-15:00"
D012,Dr. Rahul Bansal,Psychiatry,"Tue,Wed,Mon","11:00-12:00,12:00-13:00,14:00-15:00"
D013,Dr. Ritika Malhotra,Psychiatry,"Fri,Sat,Tue","11:00-12:00,14:00-15:00,13:00-14:00"
D014,Dr. Priya Mishra,Psychiatry,"Tue,Fri,Wed","12:00-13:00,16:00-17:00,13:00-14:00"
D015,Dr. Vikram Desai,Psychology,"Sat,Thu,Mon","12:00-13:00,12:00-13:00,13:00-14:00"
D016,Dr. Kavita Gupta,Psychology,"Mon,Thu,Fri","16:00-17:00,14:00-15:00,14:00-15:00"
D017,Dr. Amit Agarwal,Psychiatry,"Mon,Fri,Thu","14:00-15:00,15:00-16:00,12:00-13:00"
D018,Dr. Shweta Rao,Psychiatry,"Thu,Sat,Wed","10:00-11:00,13:00-14:00,12:00-13:00"
D019,Dr. Shweta Rao,Psychiatry,"Thu,Mon,Fri","10:00-11:00,12:00-13:00,13:00-14:00"
D020,Dr. Karan Malhotra,Psychology,"Fri,Mon,Wed","14:00-15:00,13:00-14:00,16:00-17:00"
